Name, Qty, Best Solution, Average Solution, Standard Deviation, Average Time, Average Time SD
1000_1, 1000, 3754, 3754, 0, 0.0492999, 0.00057268
1000_2, 1000, 4027, 4027, 0, 0.0493857, 0.000544771
1000_3, 1000, 3993, 3993, 0, 0.0505674, 0.000336659
1000_4, 1000, 4077, 4077, 0, 0.0506781, 0.00148754
1000_5, 1000, 3989, 3989, 0, 0.0529597, 0.000217128
1000_6, 1000, 3860, 3860, 0, 0.0538747, 0.00156125
1000_7, 1000, 4042, 4042, 0, 0.0562522, 0.000780567
1000_8, 1000, 4200, 4200, 0, 0.0524055, 0.00250777
1000_9, 1000, 3909, 3909, 0, 0.0489041, 0.000440591
1000_10, 1000, 4176, 4176, 0, 0.049325, 0.000390904
500_1, 500, 2079, 2079, 0, 0.0192986, 0.000177144
500_2, 500, 2181, 2181, 0, 0.019656, 0.00012118
500_3, 500, 2004, 2004, 0, 0.0196133, 0.000125496
500_4, 500, 2032, 2032, 0, 0.0192925, 0.000478675
500_5, 500, 2038, 2038, 0, 0.0186905, 0.000218925
500_6, 500, 1998, 1998, 0, 0.0185905, 0.000165716
500_7, 500, 2040, 2040, 0, 0.0189546, 0.000147851
500_8, 500, 2043, 2043, 0, 0.0183356, 0.000130928
500_9, 500, 2054, 2054, 0, 0.0338957, 0.0155845
500_10, 500, 2020, 2020, 0, 0.0234502, 0.000471211
700_1, 700, 2732, 2732, 0, 0.0320079, 0.000210447
700_2, 700, 2593, 2593, 0, 0.0328258, 0.000696288
700_3, 700, 3000, 3000, 0, 0.0321809, 0.000668625
700_4, 700, 2998, 2998, 0, 0.0324425, 0.000282345
700_5, 700, 2817, 2817, 0, 0.0330002, 0.000916096
700_6, 700, 2996, 2996, 0, 0.0309034, 0.00015159
700_7, 700, 2800, 2800, 0, 0.0315134, 0.000250953
700_8, 700, 2748, 2748, 0, 0.0309215, 0.000189159
700_9, 700, 2740, 2740, 0, 0.0337768, 0.000468812
700_10, 700, 2800, 2800, 0, 0.0330962, 0.000202067
800_1, 800, 3285, 3285, 0, 0.0352138, 0.000570033
800_2, 800, 3045, 3045, 0, 0.042916, 0.000249715
800_3, 800, 3269, 3269, 0, 0.0426255, 0.000233993
800_4, 800, 3191, 3191, 0, 0.0424499, 0.000722801
800_5, 800, 3227, 3227, 0, 0.0420926, 0.000158816
800_6, 800, 3235, 3235, 0, 0.0404233, 0.00218524
800_7, 800, 3221, 3221, 0, 0.0377818, 0.000200489
800_8, 800, 3243, 3243, 0, 0.0374066, 0.000234913
800_9, 800, 3162, 3162, 0, 0.039702, 0.00130411
800_10, 800, 3348, 3348, 0, 0.0403665, 0.000208384
