Name, Qty, Best Solution, Average Solution, Standard Deviation, Average Time, Average Time SD
800_1, 800, 3765, 3721.3, 25.9703, 12.347, 0.818467
800_2, 800, 3702, 3627.4, 44.9869, 11.482, 1.21387
800_3, 800, 3792, 3757.9, 19.6551, 12.9436, 1.37634
800_4, 800, 3622, 3603.2, 16.6119, 12.3724, 2.01056
800_5, 800, 3678, 3640.4, 22.4212, 12.879, 1.6758
800_6, 800, 3950, 3884.3, 31.4291, 10.4583, 0.778151
800_7, 800, 3730, 3681.4, 29.7814, 13.2454, 1.39724
800_8, 800, 3785, 3732.4, 27.6614, 11.9961, 1.34645
800_9, 800, 3720, 3670, 38.8044, 13.0891, 1.00979
800_10, 800, 3855, 3817.5, 23.7499, 12.7967, 1.61198
