Name, Qty, Best Solution, Average Solution, Standard Deviation, Average Time, Average Time SD
500_1, 500, 2315, 2273.2, 22.3746, 1.31658, 0.323562
500_2, 500, 2430, 2383.7, 23.5987, 1.44566, 0.275631
500_3, 500, 2243, 2209.7, 25.1, 1.2296, 0.234559
500_4, 500, 2279, 2245.6, 22.8775, 1.04195, 0.250727
500_5, 500, 2352, 2292, 27.4064, 0.818552, 0.2238
500_6, 500, 2276, 2234, 21.7664, 0.85198, 0.316186
500_7, 500, 2254, 2236.3, 19.1778, 1.27005, 0.360193
500_8, 500, 2312, 2274.2, 25.249, 1.05066, 0.330232
500_9, 500, 2330, 2303.8, 25.5856, 0.669131, 0.172607
500_10, 500, 2224, 2186.3, 26.0429, 1.64462, 0.382371
700_1, 700, 3037, 3002.2, 29.9993, 1.32316, 0.302979
700_2, 700, 2873, 2837.2, 19.2342, 1.10789, 0.257172
700_3, 700, 3278, 3241.2, 21.5293, 1.26451, 0.320416
700_4, 700, 3261, 3237.8, 18.0665, 1.52464, 0.255107
700_5, 700, 3122, 3081.4, 22.6627, 0.99549, 0.152904
700_6, 700, 3218, 3180.1, 17.5148, 1.89147, 0.270824
700_7, 700, 3079, 3047.9, 22.2384, 1.71327, 0.381833
700_8, 700, 3074, 3014.5, 31.7814, 0.987936, 0.203761
700_9, 700, 3009, 2975.5, 18.8223, 1.64292, 0.253776
700_10, 700, 3149, 3091.6, 36.09, 1.06779, 0.145904
